symbol,fundingTime,fundingRate,markPrice
ETHUSDT,2019-11-27 16:00:00+08:00,0.0001,
ETHUSDT,2019-11-28 00:00:00+08:00,0.0001,
ETHUSDT,2019-11-28 08:00:00+08:00,0.0001,
ETHUSDT,2019-11-28 16:00:00+08:00,1.401e-05,
ETHUSDT,2019-11-29 00:00:00+08:00,-0.0001061,
ETHUSDT,2019-11-29 08:00:00+08:00,-0.00022765,
ETHUSDT,2019-11-29 16:00:00+08:00,-0.00020527,
ETHUSDT,2019-11-30 00:00:00+08:00,-8.117e-05,
ETHUSDT,2019-11-30 08:00:00+08:00,1.27e-06,
ETHUSDT,2019-11-30 16:00:00+08:00,-3.953e-05,
ETHUSDT,2019-12-01 00:00:00+08:00,0.0001,
ETHUSDT,2019-12-01 08:00:00+08:00,0.0001,
ETHUSDT,2019-12-01 16:00:00+08:00,0.0001,
ETHUSDT,2019-12-02 00:00:00+08:00,0.0001,
ETHUSDT,2019-12-02 08:00:00+08:00,0.0001,
ETHUSDT,2019-12-02 16:00:00+08:00,0.0001,
ETHUSDT,2019-12-03 00:00:00+08:00,0.0001,
ETHUSDT,2019-12-03 08:00:00+08:00,0.0001,
ETHUSDT,2019-12-03 16:00:00+08:00,0.0001,
ETHUSDT,2019-12-04 00:00:00+08:00,0.0001,
ETHUSDT,2019-12-04 08:00:00+08:00,0.0001,
ETHUSDT,2019-12-04 16:00:00+08:00,0.0001,
ETHUSDT,2019-12-05 00:00:00+08:00,0.0001,
ETHUSDT,2019-12-05 08:00:00+08:00,1.618e-05,
ETHUSDT,2019-12-05 16:00:00.001000+08:00,0.0001,
ETHUSDT,2019-12-06 00:00:00+08:00,0.0001,
ETHUSDT,2019-12-06 08:00:00+08:00,0.0001,
ETHUSDT,2019-12-06 16:00:00+08:00,8.067e-05,
ETHUSDT,2019-12-07 00:00:00+08:00,0.0001,
ETHUSDT,2019-12-07 08:00:00+08:00,0.0001,
ETHUSDT,2019-12-07 16:00:00.001000+08:00,0.0001,
ETHUSDT,2019-12-08 00:00:00+08:00,0.0001,
ETHUSDT,2019-12-08 08:00:00+08:00,0.0001,
ETHUSDT,2019-12-08 16:00:00+08:00,0.0001,
ETHUSDT,2019-12-09 00:00:00+08:00,3.335e-05,
ETHUSDT,2019-12-09 08:00:00+08:00,0.0001,
ETHUSDT,2019-12-09 16:00:00+08:00,0.0001,
ETHUSDT,2019-12-10 00:00:00+08:00,0.0001,
ETHUSDT,2019-12-10 08:00:00+08:00,0.0001,
ETHUSDT,2019-12-10 16:00:00.001000+08:00,0.0001,
ETHUSDT,2019-12-11 00:00:00+08:00,0.0001,
ETHUSDT,2019-12-11 08:00:00+08:00,0.0001,
ETHUSDT,2019-12-11 16:00:00+08:00,0.0001,
ETHUSDT,2019-12-12 00:00:00+08:00,0.0001,
ETHUSDT,2019-12-12 08:00:00+08:00,0.0001,
